feature,importance
day_of_year,0.1502246652460399
customers_per_outage,0.09690600183898632
total_historical_outages,0.09171361021985212
outages_squared,0.07639015394078087
day_of_week,0.07500616433535803
month,0.061286383756063094
max_customers_ever,0.046014333479854674
latest_population,0.04086864895309425
population_log,0.037231282090952285
high_risk_county,0.03579498431278168
is_weekend,0.03173403579732426
year,0.030830247018258098
quarter,0.029615369075136178
season,0.02665191548206242
avg_customers_affected,0.02399791772913447
is_storm_season,0.022838088601749774
avg_duration_hours,0.02218455750999805
weather_x_population,0.017765976568262704
weather_event_count,0.01368821421427362
is_summer,0.013405417991946555
avg_magnitude,0.009054600592071175
is_winter,0.00875177193469971
high_population_density,0.008044597839455873
severity_score,0.007658071291322547
damage_per_capita,0.006675616273591501
total_property_damage,0.006380720925186826
damage_log,0.005870772939610325
extreme_weather,0.0034003847112939987
total_injuries,1.5495330858580045e-05
total_deaths,0.0
